rs;kreis;sonst_mob_jan;pend_mob_jan;sonst_mob_feb;pend_mob_feb;sonst_mob_mär;pend_mob_mär;sonst_mob_apr;pend_mob_apr;sonst_mob_mai;pend_mob_mai;sonst_mob_jun;pend_mob_jun;sonst_mob_jul;pend_mob_jul;sonst_mob_aug;pend_mob_aug;sonst_mob_sep;pend_mob_sep;sonst_mob_okt;pend_mob_okt;sonst_mob_nov;pend_mob_nov;sonst_mob_dez;pend_mob_dez
9375;Regensburg;0;-5;11;0;-25;-9;-32;-31;-8;-20;-12;5;3;-2;9;9;9;16;5;1;-1;5;-11;2
9376;Schwandorf;-2;-6;8;0;-22;-7;-37;-34;-13;-23;-13;7;4;-2;9;9;9;16;4;-1;-4;2;-13;0
9377;Tirschenreuth;-1;-2;15;10;-24;-8;-33;-34;-9;-23;-9;8;7;3;16;15;21;29;11;7;11;17;-4;9
9461;Bamberg, Stadt;6;-1;16;1;-27;-12;-47;-44;-22;-35;-21;-8;-8;-15;-7;-6;-2;6;-10;-11;-24;-16;-36;-23
9462;Bayreuth, Stadt;12;3;27;10;-22;-8;-39;-41;-10;-31;-11;-3;0;-9;7;2;7;9;-2;-9;-8;-9;-21;-13
9463;Coburg, Stadt;18;2;27;4;-11;-7;-34;-42;-9;-32;-8;-3;3;-10;1;-6;11;7;0;-12;-12;-17;-34;-32
9464;Hof, Stadt;11;0;19;3;-23;-12;-38;-39;-10;-28;-15;-1;-3;-8;2;-2;4;8;-1;-3;-10;-7;-27;-17
9471;Bamberg;3;0;9;-1;-25;-6;-35;-33;-10;-20;-17;3;-2;-4;3;8;6;17;3;1;-5;4;-16;-1
9472;Bayreuth;-2;-4;9;2;-24;-8;-36;-32;-10;-21;-17;6;1;-3;2;3;4;13;-4;-6;-7;1;-14;-2
9473;Coburg;7;-1;11;0;-20;-6;-34;-34;-9;-24;-14;3;-3;-7;-1;-4;1;5;1;-9;-9;-6;-24;-13
9474;Forchheim;8;1;15;2;-21;-9;-36;-36;-7;-24;-11;5;3;-5;1;0;8;11;5;-6;-4;-5;-22;-14
9475;Hof;-7;-10;4;-4;-24;-9;-39;-36;-18;-28;-21;-2;-5;-6;0;-3;4;15;-1;-1;-9;1;-18;0
9476;Kronach;15;-1;19;0;-17;-6;-36;-35;-12;-24;-12;3;-1;-6;-2;3;0;11;3;2;-5;4;-15;2
9477;Kulmbach;14;8;24;12;-12;4;-32;-31;-12;-25;-17;1;-6;-9;3;0;5;9;3;-5;-6;-3;-19;-9
9478;Lichtenfels;12;2;16;3;-19;-3;-33;-33;-7;-22;-7;7;5;-1;14;10;12;17;4;-2;-8;-1;-20;-7
9479;Wunsiedel im Fichtelgebirge;-1;-5;10;1;-24;-10;-46;-40;-15;-27;-11;5;2;-4;3;0;4;13;-6;-9;-13;-5;-26;-12
9561;Ansbach, Stadt;0;-6;8;-7;-27;-15;-45;-45;-17;-33;-13;2;-3;-6;2;4;-12;8;-15;-10;-19;-13;-29;-21
9562;Erlangen, Stadt;0;-6;9;-2;-34;-24;-49;-52;-24;-42;-28;-20;-12;-25;-7;-20;-3;-8;-11;-23;-21;-24;-34;-30
9563;Fürth, Stadt;1;-6;10;-2;-30;-15;-41;-41;-14;-28;-18;-5;-9;-15;-5;-12;-4;1;-7;-14;-16;-11;-31;-18
9564;Nürnberg, Stadt;2;-5;11;-1;-32;-18;-45;-46;-21;-36;-20;-10;-10;-18;-8;-15;-5;-4;-9;-17;-20;-19;-33;-25
9565;Schwabach, Stadt;1;-5;11;-1;-26;-10;-40;-37;-12;-27;-6;1;-3;-13;5;-1;6;9;9;-1;-1;-3;-11;-11
9571;Ansbach;10;5;16;5;-20;-4;-33;-30;-8;-21;-11;11;4;1;4;6;10;19;6;2;-5;3;-20;-2
9572;Erlangen-Höchstadt;1;-5;9;-1;-26;-12;-38;-39;-11;-26;-16;-1;-6;-13;-6;-11;-4;0;-4;-12;-15;-12;-28;-18
9573;Fürth;-1;-5;7;-2;-26;-10;-35;-33;-10;-24;-14;2;-2;-8;0;-7;4;8;2;-7;-9;-5;-22;-8
9574;Nürnberger Land;1;-4;8;-1;-25;-10;-36;-35;-10;-25;-15;2;-2;-8;3;-1;4;10;2;-4;-6;-3;-21;-10
9575;Neustadt an der Aisch-Bad Windsheim;6;4;10;3;-27;-6;-36;-32;-14;-24;-17;5;5;-3;4;3;2;13;-1;-4;-14;-4;-25;-9
9576;Roth;7;1;16;5;-20;-4;-34;-30;-9;-21;-13;7;3;-2;6;5;8;14;4;-2;-6;1;-19;-5
9577;Weißenburg-Gunzenhausen;11;7;26;13;-13;4;-29;-26;2;-17;10;32;50;28;55;44;52;49;25;15;14;16;-2;8
9661;Aschaffenburg, Stadt;-3;-8;7;-5;-36;-19;-46;-44;-14;-30;-16;-3;-1;-10;2;3;9;14;5;-2;-9;-1;-30;-15
9662;Schweinfurt, Stadt;-3;-7;8;-6;-30;-15;-42;-42;-11;-30;-14;-2;-3;-13;0;-2;1;8;-5;-7;-11;-10;-29;-19
9663;Würzburg, Stadt;-7;-12;4;-9;-39;-22;-52;-48;-24;-37;-24;-9;-10;-17;-6;-7;-8;1;-9;-11;-19;-13;-39;-24
9671;Aschaffenburg;-7;-9;-1;-7;-29;-12;-39;-34;-16;-26;-17;0;-5;-9;4;2;8;13;5;-3;-6;1;-24;-10
9672;Bad Kissingen;-13;-13;-10;-15;-36;-15;-51;-43;-24;-31;-20;4;1;-1;23;19;30;35;27;18;12;18;-6;8
9673;Rhön-Grabfeld;-9;-11;-3;-14;-33;-14;-47;-42;-19;-32;-10;8;9;0;28;25;32;40;28;22;12;16;-6;6
9674;Haßberge;-7;-9;1;-8;-27;-10;-39;-37;-14;-27;-20;0;-4;-6;22;21;26;32;19;14;12;15;-6;5
9675;Kitzingen;-2;-8;5;-5;-21;-6;-32;-30;-2;-19;-6;17;12;3;20;15;25;28;23;12;7;9;-16;-5
9676;Miltenberg;-8;-10;-2;-9;-33;-14;-45;-39;-20;-30;-22;-3;-3;-9;2;-3;8;14;6;-1;3;9;-12;2
9677;Main-Spessart;-7;-11;-3;-12;-31;-14;-44;-41;-17;-31;-16;0;-4;-10;-1;1;11;17;6;1;0;4;-16;-5
9678;Schweinfurt;-7;-7;2;-4;-25;-6;-19;-19;9;-8;6;26;24;18;46;38;47;50;33;23;28;31;10;21
9679;Würzburg;-9;-11;-2;-9;-28;-10;-37;-35;-13;-26;-4;11;8;-1;12;4;13;14;17;4;12;12;-2;10
9761;Augsburg, Stadt;7;-3;11;-2;-30;-14;-44;-43;-17;-32;-21;-8;-6;-14;-7;-6;-2;2;-10;-14;-21;-15;-33;-19
9762;Kaufbeuren, Stadt;61;7;67;9;1;1;-36;-34;-9;-24;6;14;22;5;39;24;25;19;18;3;-13;-11;-13;-10
9763;Kempten (Allgäu), Stadt;10;0;22;0;-20;-7;-33;-39;-10;-32;-13;2;8;2;12;15;9;20;3;2;-12;-7;-26;-14
9764;Memmingen, Stadt;7;0;13;0;-22;-8;-35;-35;-11;-24;-14;0;-6;-9;-2;-2;-2;4;-15;-11;-17;-8;-25;-13
9771;Aichach-Friedberg;8;-1;13;-1;-25;-7;-34;-32;-11;-24;-17;0;-6;-11;1;-1;6;10;1;-4;-7;-1;-20;-6
9772;Augsburg;3;-3;11;0;-21;-5;-30;-28;-8;-21;-15;4;-2;-6;-2;-1;3;8;0;-4;-7;-2;-17;-3
9773;Dillingen an der Donau;-7;-11;3;-9;-24;-11;-32;-34;-8;-23;-18;1;1;-7;3;1;6;11;1;-3;-5;1;-12;0
9774;Günzburg;5;-3;12;-2;-21;-5;-33;-31;-7;-21;-11;8;3;-2;6;6;11;15;6;1;-2;7;-15;2
9775;Neu-Ulm;8;-4;14;-1;-25;-12;-39;-39;-13;-26;-17;0;-6;-10;-2;-4;0;5;-2;-9;-13;-6;-26;-11
9776;Lindau (Bodensee);0;-4;4;-2;-34;-12;-51;-40;-22;-32;-12;11;29;11;33;26;33;27;10;-2;-12;-8;-26;-15
9777;Ostallgäu;8;-4;11;-2;-35;-11;-54;-43;-25;-34;-16;3;9;-1;18;19;20;24;2;-3;-10;-7;-32;-14
9778;Unterallgäu;5;-5;11;-1;-26;-7;-32;-29;-11;-21;-18;7;1;-3;-1;3;4;15;1;-2;-5;3;-13;4
9779;Donau-Ries;4;1;16;6;-18;0;-30;-30;-7;-21;-19;3;-1;-4;0;1;8;16;0;-2;-2;3;-15;-2
9780;Oberallgäu;25;14;32;19;-15;6;-35;-31;1;-18;6;29;39;22;44;49;33;39;18;11;-5;-6;-30;-16
10041;Saarbrücken, Stadtverband;7;2;8;-3;-26;-13;-39;-40;-16;-29;-16;-3;-8;-12;0;-2;2;7;-6;-14;-13;-6;-26;-16
10042;Merzig-Wadern;-2;-4;6;-5;-20;-8;-30;-32;-5;-17;-3;15;5;4;17;20;16;27;8;1;5;12;-10;0
10043;Neunkirchen;6;-1;11;-5;-17;-7;-30;-33;-9;-23;-10;4;-7;-9;4;3;8;14;1;-5;-2;7;-14;-3
10044;Saarlouis;5;3;7;-2;-20;-6;-31;-33;-8;-22;-9;5;-5;-8;3;1;3;11;1;-5;-3;5;-20;-9
10045;Saarpfalz-Kreis;-1;-3;2;-6;-22;-13;-31;-35;-10;-26;-11;-1;-10;-13;2;-3;3;5;-1;-11;-1;-1;-15;-11
10046;St. Wendel;-1;-3;-2;-9;-25;-11;-35;-35;-12;-24;-12;4;-3;-5;8;6;8;15;-7;-10;-8;1;-20;-10
11000;Berlin, Stadt;2;0;8;3;-28;-19;-42;-45;-26;-39;-19;-8;-12;-19;-3;-12;-7;-4;-13;-23;-19;-16;-35;-26
12051;Brandenburg an der Havel, Stadt;42;36;57;44;26;28;9;-2;34;8;34;53;41;31;46;35;22;33;8;7;2;12;-18;-4
12052;Cottbus, Stadt;-8;-9;4;-1;-20;-10;-28;-30;-5;-23;-5;12;5;-1;18;8;16;19;7;-1;1;4;-20;-11
12053;Frankfurt (Oder), Stadt;-23;-20;-3;-7;-28;-15;-41;-38;-12;-19;0;21;22;22;74;70;63;74;29;23;33;41;3;21
12054;Potsdam, Stadt;5;2;7;2;-23;-15;-40;-44;-24;-38;-18;-6;-12;-19;0;-8;-3;-1;-11;-21;-15;-12;-35;-27
12060;Barnim;-1;2;5;5;-10;-2;-17;-22;0;-18;0;22;14;8;32;20;38;31;34;10;34;22;11;9
12061;Dahme-Spreewald;-10;-9;-3;-7;-27;-15;-34;-34;-14;-28;-10;10;7;0;30;18;21;23;12;0;9;8;-10;-4
12062;Elbe-Elster;-4;-5;0;-4;-19;-8;-17;-17;15;-4;17;39;27;26;58;40;66;57;57;38;46;46;20;26
12063;Havelland;1;0;7;3;-16;-6;-24;-26;-4;-18;2;21;9;2;21;13;17;21;9;2;8;12;-12;-1
12064;Märkisch-Oderland;0;0;5;2;-12;-7;-19;-24;-2;-18;-2;19;7;1;23;13;20;24;15;3;14;15;-4;3
12065;Oberhavel;-4;-6;3;-2;-18;-10;-21;-27;-3;-21;3;19;10;2;21;12;17;21;10;0;7;9;-10;-3
12066;Oberspreewald-Lausitz;-16;-10;-8;-5;-24;-11;-30;-22;8;-4;16;41;26;23;55;42;57;50;43;25;25;26;5;10
12067;Oder-Spree;-14;-7;-8;-5;-17;-7;-18;-24;5;-17;10;27;24;13;42;27;45;40;39;17;35;28;16;14
12068;Ostprignitz-Ruppin;-15;-11;4;-2;-7;-6;-17;-20;14;-10;30;52;53;43;73;58;62;60;43;33;26;31;14;15
12069;Potsdam-Mittelmark;0;-1;7;3;-16;-7;-23;-26;-6;-21;0;16;7;-1;22;12;17;18;6;-4;8;8;-10;-4
12070;Prignitz;-4;-4;11;4;-4;5;-13;-14;23;-5;31;52;84;69;86;69;76;76;62;51;36;44;14;26
12071;Spree-Neiße;-12;-6;0;0;-15;0;-27;-25;2;-9;8;32;19;15;48;38;49;49;37;16;23;21;2;6
12072;Teltow-Fläming;-11;-9;-3;-2;-15;-3;-16;-20;2;-15;6;24;14;6;30;19;24;25;15;2;14;12;-1;3
12073;Uckermark;-20;-15;-7;-5;-19;-4;-39;-31;-5;-13;16;51;46;48;89;78;98;84;70;36;40;30;26;20
13003;Rostock, Stadt;3;0;7;1;-21;-10;-33;-35;-7;-24;-3;12;11;3;31;25;16;18;10;0;-7;-4;-28;-18
13004;Schwerin, Stadt;4;0;7;-1;-15;-9;-29;-34;-6;-24;-2;10;10;3;23;17;16;20;11;6;-1;3;-25;-15
13071;Mecklenburgische Seenplatte;-13;-11;-8;-6;-21;-5;-28;-22;12;-5;43;73;79;72;125;103;114;106;83;59;32;38;2;13
13072;Rostock;0;-1;9;5;-8;1;-20;-22;13;-11;27;49;55;47;79;67;61;63;50;36;18;21;-6;5
13073;Vorpommern-Rügen;1;-3;9;3;-14;0;-36;-29;8;-11;60;92;94;96;138;136;106;121;82;68;7;18;-16;-3
13074;Nordwestmecklenburg;-5;-2;1;3;-15;2;-32;-28;-3;-17;7;28;20;17;39;35;27;34;18;12;4;12;-16;-5
13075;Vorpommern-Greifswald;0;-1;8;7;-13;6;-37;-31;0;-13;35;61;64;60;105;99;91;95;60;44;12;24;-10;9
13076;Ludwigslust-Parchim;-14;-8;-6;-3;-12;1;-15;-15;16;-6;28;47;58;48;81;63;72;66;56;36;36;37;15;19
14511;Chemnitz, Stadt;5;1;10;3;-23;-13;-34;-36;-12;-27;-15;-1;-2;-7;-7;-14;-3;1;-3;-9;-9;-4;-33;-25
14521;Erzgebirgskreis;-1;-2;3;-1;-20;-9;-33;-31;-10;-22;-13;6;3;0;1;-5;11;17;9;2;3;10;-25;-12
14522;Mittelsachsen;1;-1;9;2;-11;-5;-21;-26;0;-18;-8;9;4;-3;2;-6;7;12;9;0;3;7;-18;-11
14523;Vogtlandkreis;-3;-6;4;-3;-14;-8;-27;-30;-4;-19;-8;8;11;2;9;3;18;20;15;7;11;11;-15;-10
14524;Zwickau;4;0;10;2;-16;-8;-27;-31;-11;-23;-11;4;-1;-4;-4;-9;3;9;3;-3;-2;4;-24;-16
14612;Dresden, Stadt;-2;-6;6;-1;-25;-16;-39;-43;-19;-33;-16;-4;0;-8;-8;-16;0;2;-1;-11;-13;-10;-37;-29
14625;Bautzen;7;-2;15;3;-12;-5;-24;-26;3;-13;6;22;24;15;22;11;27;32;25;17;10;16;-11;-2
14626;Görlitz;10;6;13;5;-21;-9;-45;-40;-14;-22;-6;16;15;12;27;19;35;42;22;17;13;27;-15;5
14627;Meißen;-2;-6;3;-1;-18;-8;-23;-25;0;-16;-3;14;13;6;8;0;16;22;16;5;7;10;-18;-8
14628;Sächsische Schweiz-Osterzgebirge;-8;-9;0;-3;-21;-9;-36;-35;-10;-25;-10;9;13;7;16;8;22;25;20;6;2;5;-23;-13
14713;Leipzig, Stadt;-3;-4;6;0;-28;-18;-40;-41;-21;-33;-18;-6;-5;-11;-9;-17;-5;-2;-6;-14;-13;-10;-34;-27
14729;Leipzig;-4;-5;3;-1;-17;-9;-24;-27;-8;-22;-13;5;3;-2;3;-5;7;11;4;-4;3;5;-18;-12
14730;Nordsachsen;-3;-3;3;0;-18;-7;-24;-26;-9;-20;-13;6;-3;-4;7;1;12;14;8;-1;6;8;-15;-8
15001;Dessau-Roßlau, Stadt;0;-3;7;3;-17;-5;-26;-26;-10;-24;-5;12;-1;-1;0;-8;-2;2;-3;-10;-4;0;-24;-15
15002;Halle (Saale), Stadt;-2;-6;5;1;-21;-12;-28;-33;-17;-32;-15;-2;-4;-7;-7;-15;-4;1;-6;-13;-7;-3;-25;-18
15003;Magdeburg, Stadt;4;-2;10;4;-18;-8;-29;-31;-14;-29;-15;1;-5;-7;-5;-13;-3;3;-4;-9;-8;-3;-27;-16
15081;Altmarkkreis Salzwedel;5;-1;17;8;-5;3;-17;-22;3;-15;14;32;26;19;31;16;33;33;18;11;7;15;0;9
15082;Anhalt-Bitterfeld;7;-1;13;5;-5;0;-15;-20;-5;-21;-3;13;6;2;6;-3;8;9;-3;-9;-3;2;-16;-8
15083;Börde;3;0;12;6;-5;2;-12;-16;1;-16;0;17;11;6;17;5;19;18;16;3;14;12;-2;0
15084;Burgenlandkreis;6;-2;12;4;-5;-1;-14;-20;-1;-21;-2;14;11;4;10;0;17;16;14;0;13;10;-9;-8
15085;Harz;13;2;18;10;-4;1;-27;-27;-1;-21;5;23;28;17;37;19;36;32;33;13;10;13;-15;-4
15086;Jerichower Land;5;-3;11;3;-4;0;-13;-18;1;-17;2;19;9;4;18;7;16;20;11;4;7;15;-6;4
15087;Mansfeld-Südharz;-1;-7;3;-2;-12;-5;-20;-23;-6;-22;-2;15;6;5;7;0;7;18;10;1;3;8;-10;-2
15088;Saalekreis;3;-1;10;5;-11;-3;-16;-20;0;-18;-6;12;4;1;3;-3;9;13;4;-2;5;11;-14;-4
15089;Salzlandkreis;-2;-4;4;3;-9;0;-16;-20;-5;-19;-4;14;8;6;8;0;10;16;10;0;9;9;-4;-1
15090;Stendal;1;-2;10;5;-9;0;-16;-17;6;-12;11;28;24;17;32;17;28;35;26;12;18;22;-1;8
15091;Wittenberg;1;-2;8;3;-11;-3;-21;-22;-7;-19;-1;18;0;5;8;6;14;19;10;4;10;15;-12;-3
16051;Erfurt, Stadt;0;-2;4;-2;-26;-16;-32;-36;-14;-31;-19;-5;-5;-12;-9;-18;-6;-2;-9;-16;-12;-8;-32;-22
16052;Gera, Stadt;-2;-5;4;-4;-17;-9;-26;-32;-9;-26;-7;7;7;1;6;-4;1;8;-9;-12;-9;-1;-28;-17
16053;Jena, Stadt;2;-2;1;-3;-30;-22;-40;-46;-23;-39;-22;-13;-9;-16;-16;-24;-12;-7;-11;-18;-13;-10;-35;-29
16054;Suhl, Stadt;6;1;19;13;4;7;-9;-17;8;-6;1;20;20;17;26;13;28;32;39;25;30;41;-9;3
16055;Weimar, Stadt;6;2;11;3;-10;-7;-17;-25;-3;-22;-10;4;4;-1;-8;-17;-1;3;-5;-10;-7;-1;-23;-17
16056;Eisenach, Stadt;7;0;11;1;-15;-8;-31;-35;-14;-30;-4;0;4;-5;5;-6;12;9;10;-3;0;2;-23;-19
16061;Eichsfeld;-4;-4;2;-3;-14;-4;-21;-26;-6;-20;-4;14;4;3;7;3;18;23;11;5;12;16;-10;-2
16062;Nordhausen;12;-1;19;4;1;1;-10;-22;11;-14;25;33;46;23;65;29;60;41;71;25;39;31;8;11
16063;Wartburgkreis;-4;-5;3;-1;-15;-5;-21;-24;-6;-20;-7;7;7;0;10;0;20;20;15;5;11;14;-13;-4
16064;Unstrut-Hainich-Kreis;11;0;15;7;0;-1;-13;-17;6;-12;5;25;12;7;11;5;25;24;14;3;7;12;-11;-3
16065;Kyffhäuserkreis;-8;-8;-6;-9;-19;-9;-29;-26;-9;-23;-10;10;6;3;23;7;32;32;38;17;29;25;10;10
16066;Schmalkalden-Meiningen;-4;-4;2;1;-18;-7;-28;-30;-8;-21;-8;11;15;8;22;8;34;32;32;17;27;25;3;4
16067;Gotha;-4;-3;-1;-2;-17;-8;-22;-27;-6;-19;-4;11;5;1;6;-2;16;18;11;0;9;8;-10;-9
16068;Sömmerda;-1;-3;2;-2;-14;-7;-22;-26;-8;-21;-11;12;3;4;7;-2;7;14;5;-6;8;7;-14;-8
16069;Hildburghausen;1;4;2;8;-17;-2;-25;-22;-1;-14;-6;13;8;7;12;2;21;20;20;6;9;9;-12;-7
16070;Ilm-Kreis;-5;-6;4;0;-6;-4;-10;-23;4;-18;2;11;14;1;0;-4;15;18;9;5;3;13;-13;-1
16071;Weimarer Land;3;1;8;3;-6;1;-10;-16;1;-16;-8;10;3;-1;1;-7;4;8;2;-6;1;4;-18;-10
16072;Sonneberg;-13;-9;-3;-2;-20;-7;-33;-31;-20;-27;-19;1;-7;-5;-7;-6;6;14;8;0;-1;-1;-18;-14
16073;Saalfeld-Rudolstadt;-2;-3;-1;-3;-17;-8;-21;-24;-5;-20;-6;11;11;8;6;-1;9;14;6;-3;0;4;-22;-12
16074;Saale-Holzland-Kreis;-1;-3;1;-2;-19;-9;-23;-28;-5;-24;-12;4;4;-2;-2;-10;3;8;2;-6;2;7;-16;-7
16075;Saale-Orla-Kreis;3;-3;8;-1;-12;0;-19;-18;0;-17;-8;13;12;5;24;12;25;24;16;3;16;14;-9;-4
16076;Greiz;3;3;7;3;-12;-1;-20;-20;-2;-16;-8;13;5;4;13;6;10;19;8;3;5;13;-16;-5
16077;Altenburger Land;6;4;9;6;-10;0;-18;-21;-2;-19;-9;7;2;-1;1;-5;6;12;2;-6;1;4;-20;-13
